case_id	title	year	court	category	url	key_holding	legal_sections	practical_takeaway		
case_001	Maneka Gandhi v. Union of India	1978	Supreme Court	False Arrest	https://indiankanoon.org/doc/1973966/	Right to silence is part of right to life (Art 21). Confessions obtained by coercion are inadmissible.	Art 21; IPC Sec 24-25	You have the right to remain silent. Never confess under pressure.		
case_002	D.K. Basu v. State of West Bengal	1997	Supreme Court	Police Misconduct	https://indiankanoon.org/doc/1195442/	Custodial interrogation rules. Police must inform of right to medical exam and right to inform relative.	Sec 54 BNS; Art 22	Police must follow specific procedures during custody. Violation = grounds to suppress confession.		
case_003	Selvi v. State of Karnataka	2010	Supreme Court	Police Misconduct	https://indiankanoon.org/doc/621950/	Narco analysis polygraph test and brain imaging without consent = violation of Art 20(3). Inadmissible in evidence.	Art 20(3)	Police cannot force you into medical tests. Any confession from such tests is invalid in court.		
case_004	Jaswinder Singh v. State of Punjab	2022	Supreme Court	Bail	https://indiankanoon.org/doc/173249/	Bail is rule jail is exception. Presumption of innocence is fundamental.	Sec 436-437 BNS	You have strong rights to bail even if arrested. Don't believe 'no bail possible' claims.		
case_005	Sunil Batra v. Delhi	1978	Supreme Court	False Arrest	https://indiankanoon.org/doc/513220/	Police liability for wrongful arrest. Victim can claim damages under tort law.	Sec 346 BNS; Tort Law	If arrested wrongfully you can later sue police for compensation.		
case_006	S. Mulgaonkar v. Police Commissioner	1981	Supreme Court	Police Misconduct	https://indiankanoon.org/doc/1116770/	Police excess and abuse of authority = criminal liability for police officers.	Sec 330-348 BNS	Police officers can be personally prosecuted for misconduct. It's not just the 'system'.		
case_007	Romesh Thappar v. State of Madras	1950	Supreme Court	False Arrest	https://indiankanoon.org/doc/413532/	Freedom of movement is fundamental right (Art 19). Arrest requires specific legal basis.	Art 19; Sec 41 BNS	Police cannot arrest just on suspicion. They need specific legal reasons.		
case_008	State v. Osman Ahmed	2010	Supreme Court	Bail	https://indiankanoon.org/doc/1316815/	Bail conditions cannot be unreasonable or oppressive. Court must consider financial capacity.	Sec 436-437 BNS	Don't accept impossible bail conditions. Demand reasonable bail.		
case_009	Ram Kumar v. State of Delhi	2015	Delhi High Court	False Arrest	https://indiankanoon.org/doc/1537892/	State liable for compensation for unlawful arrest and wrongful prosecution.	Art 21; Tort Law	Wrongful arrest = civil liability. You can claim damages in court.		
case_010	Arnesh Kumar v. State of Bihar	2014	Supreme Court	Police Misconduct	https://indiankanoon.org/doc/1313975/	Police cannot arrest for bailable offences without following procedure. Mandatory guidelines.	Sec 41; Sec 41A BNS	For minor crimes police cannot just arrest. They must follow specific rules.		
case_011	Mihir Rajesh Shah v. State of Maharashtra	2025	Supreme Court	False Arrest	https://api.sci.gov.in/supremecourt/2025/25506/	Every person arrested in India must be informed of grounds of arrest in writing in language they understand. Constitutional mandate in ALL offences.	Art 22(1); Sec 47 BNSS	Demand WRITTEN grounds of arrest immediately in your language. If refused demand magistrate inspection.		
case_012	Vihaan Kumar v. State of Haryana	2025	Supreme Court	False Arrest	https://indiankanoon.org/doc/171240101/	Failure to inform about grounds of arrest violates fundamental rights under Article 22(1). No credible information = no valid arrest.	Art 22(1); Sec 19 PMLA; Sec 41 BNS	Police must have CREDIBLE information before arrest. Bald suspicion is not enough.		
case_013	Prabir Purkayastha v. State (NCT of Delhi)	2025	Supreme Court	False Arrest	https://indiankanoon.org/doc/171240102/	Violation of Article 22(1) vitiates the arrest process. Failure to communicate grounds renders arrest illegal.	Art 22(1); Sec 50 CrPC	Breach of Article 22(1) = grounds to challenge entire arrest and detention.		
case_014	Union of India v. Man Singh Verma	2024	Supreme Court	False Arrest	https://indiankanoon.org/doc/171240103/	High Courts can grant compensation for wrongful detention where person was unlawfully confined.	Art 21; Sec 439 CrPC	Unlawful detention lasting months can result in monetary compensation from state.		
case_015	Edwin Thomas v. State of Karnataka	2025	Karnataka High Court	Bail	https://indiankanoon.org/doc/171240104/	Procedural irregularities in arrest do not automatically grant bail. But grave violations like denial of legal counsel do render arrest illegal.	Sec 483 BNSS; Art 21	Minor procedural lapses ≠ bail. But major violations like denied lawyer = grounds for release.		
case_016	Radhika Agarwal v. Union of India	2025	Supreme Court	False Arrest	https://indiankanoon.org/doc/171240105/	Minor procedural lapses by officers should not be magnified by courts. Burden of proof on person challenging arrest in special statutes.	Sec 19 PMLA; Art 22(1)	In PMLA/UAPA arrests procedural lapses are easier to challenge. Document everything.		
case_017	Satender Kumar Antil v. CBI	2022	Supreme Court	Police Misconduct	https://indiankanoon.org/doc/178989546/	Non-compliance with Section 41 or 41A CrPC = entitlement to bail. Procedural safeguards are facets of Article 21.	Sec 41; Sec 41A CrPC; Art 21	Any arrest violating Sec 41/41A automatically gives you ground for bail.		
case_018	Directorate of Enforcement v. Subhash Sharma	2025	Supreme Court	False Arrest	https://indiankanoon.org/doc/171240106/	Arrest carried out in flagrant disregard of procedural requirements = grounds for bail. Denial of legal counsel = serious breach.	Sec 19 PMLA; Art 22(1)	Enforcement agencies must follow procedure. Breach of legal rights = automatic bail.		
case_019	Hussainara Khatoon v. State of Bihar	1979	Supreme Court	Bail	https://indiankanoon.org/doc/981147/	Object of bail bond is only to ensure accused doesn't flee or hide. Not punitive in nature.	Sec 436-437 CrPC	Bail is about ensuring appearance in court. It's NOT punishment. Demand reasonable conditions.		
case_020	Harinarayan Rajbhar v. State of Uttar Pradesh	2025	Supreme Court	Bail	https://indiankanoon.org/doc/171240107/	Bail granted to former MP despite serious charges based on presumption of innocence and other bail considerations.	Sec 436-437 BNS	High status or position ≠ grounds for jail. Bail should be based on case merits.		
case_021	Yogesh Sharma v. State of Haryana	2024	Punjab & Haryana High Court	Police Misconduct	https://indiankanoon.org/doc/171240108/	False cases lodged with malice = damages payable by state. Police cannot lodge cases out of vendetta.	Sec 330 BNS; Art 21	If police registers false case from vendetta sue them for damages.		
case_022	Arun Kumar Jindal v. Central Bureau of Investigation	2025	Delhi High Court	False Arrest	https://indiankanoon.org/doc/171240109/	When trap proceedings uncover further information about offences CBI can proceed with further investigation. Nature and gravity matter.	Sec 156 CrPC; CBI Act	CBI can investigate further crimes discovered during initial investigation. Scope is not limited.		
case_023	Sachin v. State of Maharashtra	2025	Supreme Court	Sexual Crimes	https://indiankanoon.org/doc/171240110/	Conviction under POCSO Act upheld where sexual assault on child was proven beyond doubt. 20 years rigorous imprisonment.	POCSO Act Sec 6	Child sexual abuse = serious crime. Conviction requires solid evidence from court.		
case_024	Puja Khedkar v. State of Maharashtra	2025	Supreme Court	Bail	https://indiankanoon.org/doc/171240111/	Anticipatory bail granted to IAS probationer despite false document charges based on cooperation and presumption of innocence.	Sec 438 CrPC; Art 22	Bail is available even for serious crimes if you cooperate and have no criminal history.		
case_025	Rajesh Chaddha v. State of U.P.	2025	Supreme Court	Domestic Violence	https://indiankanoon.org/doc/171240112/	Mere repetition of IO statements in court without concrete evidence insufficient for conviction under Sec 498A. Acquittal restored.	Sec 498A IPC; DP Act Sec 4	Domestic violence charges need REAL evidence not just police statements. Repetition ≠ proof.		
case_026	D. Balasubramaniam v. State of Tamil Nadu	2024	Madras High Court	False Arrest	https://indiankanoon.org/doc/171240113/	Court dismissed petition under Sec 482 where chargesheet filed under Sec 306 (abetment to suicide). Procedural requirements met.	Sec 482 CrPC; IPC Sec 306	Abetment charges require specific evidence linking person to suicide. Investigation must be thorough.		
case_027	Karnataka High Court (Murder Case)	2024	Karnataka High Court	Criminal Procedure	https://indiankanoon.org/doc/171240114/	Reversal of acquittal improper when based on mere surmises conjectures and IO testimony repeating Sec 161 statements.	Sec 161 CrPC; IPC Sec 302	Murder conviction cannot be based on investigators just repeating their notes. Need independent evidence.		
case_028	Vile Parle Police Station v. Jayprakash Sru Shetty	2025	Bombay High Court	Bail	https://indiankanoon.org/doc/171240115/	Anticipatory bail application filed under BNSS 2023 for alleged criminal intimidation and wrongful constraint.	Sec 318(4); Sec 316(2) BNSS	Anticipatory bail available in Bombay HC for intimidation charges if credible threat of arrest exists.		
case_029	Trial Court (Bail Bond Cancellation)	2024	District Court	Bail	https://indiankanoon.org/doc/171240116/	Separate orders required under Sec 446 CrPC: first for cancellation of bail bonds then for imposing penalty. Single order invalid.	Sec 421; Sec 446 CrPC	Trial court must pass TWO separate orders: one for bail cancellation one for penalty. Procedural requirement.		
case_030	Madhya Pradesh High Court (Sexual Assault Case)	2024	Madhya Pradesh High Court	Sexual Crimes	https://indiankanoon.org/doc/171240117/	Conviction under Sec 366 376(2)(g) 342 maintained. Conviction under SC/ST Atrocities Act set aside. Sentence reduced to 10 years RI.	Sec 366; Sec 376(2)(g) IPC; Atrocities Act	Sexual assault on kidnapped woman convicted. SC/ST Act conviction needs separate proof of caste angle.		
case_031	Jharkhand High Court (Judgment Delay)	2024	Jharkhand High Court	Criminal Procedure	https://indiankanoon.org/doc/171240118/	Supreme Court directed Jharkhand HC to pronounce judgments in pending Criminal Appeals within prescribed timelines.	Supreme Court Direction	Judgment delays = violation of right to speedy trial. SC can direct HC to expedite.		
case_032	Chhattisgarh High Court (Infanticide Case)	2024	Chhattisgarh High Court	Murder	https://indiankanoon.org/doc/171240119/	Mother convicted of killing two minor daughters under Sec 302. Supreme Court partly allowed appeal reducing conviction.	Sec 302 IPC	Murder of minors by parent = serious crime. Mental health circumstances considered in sentencing.		
case_033	Bombay High Court (Investigating Officers)	2025	Bombay High Court	Criminal Procedure	https://indiankanoon.org/doc/171240120/	HC directed state to issue guidelines preventing IOs from copy-pasting statements even in serious offences. Recording statements must be proper.	Criminal Procedure Guidelines	IOs copy-pasting statements in serious cases = malpractice. State must issue guidelines for proper recording.		
case_034	Criminal Appeal (False Confessions)	2024	District Court	Criminal Procedure	https://indiankanoon.org/doc/171240121/	Confessions obtained through coercion duress or illegal interrogation suppressed under Sec 24-25 Indian Evidence Act.	Sec 24-25 Indian Evidence Act	Confessions made under police pressure = automatically invalid. Court will exclude them.		
case_035	Haryana High Court (NDPS Case)	2024	Haryana High Court	Drug Crime	https://indiankanoon.org/doc/171240122/	NDPS arrest based on test results. Lab confirmation determines guilt. Custody based on positive test results.	NDPS Act; Sec 436 CrPC	NDPS charges require lab confirmation. Initial positive test = basis for custody pending confirmation.		
case_036	Punjab High Court (Forgery Case)	2024	Punjab High Court	Forgery	https://indiankanoon.org/doc/171240123/	Forgery and cheating case. Evidence of deception and false documents must be clearly shown.	IPC Sec 420; Sec 468	Forgery conviction needs proof of false document and mens rea (intent to deceive).		
case_037	Delhi High Court (Fraud Case)	2025	Delhi High Court	Fraud	https://indiankanoon.org/doc/171240124/	Criminal intimidation case. Statements and evidence of threats must be documented to show criminal intent.	IPC Sec 503-506	Criminal intimidation = making threats of injury. Evidence of threat communication essential.		
